Unnamed: 0,County,List Price,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt ,Subdivision/Neighborhood,Status
83,Anne Arundel County,"$410,000 ",Craftsman,3,2,1,2,,No,10018,2021,6/30/2021,,,,
84,Carroll County,"$410,000 ",Bi-Level,3,2,,2,1,No,14035,1980,7/15/2021,,,,
85,Carroll County,"$414,900 ",Split Foyer,4,2,0,2,0,Yes,22912,1983,9/21/2021,,,,
86,Anne Arundel County,"$414,900 ",Split Level,4,2,,2,1,Yes,6000,1964,9/21/2021,,,,
87,Howard County,"$415,000 ",Split Foyer,3,1,1,2,,Yes,7000,1985,9/21/2021,,,,
88,Carroll County,"$415,000 ",Split Foyer,4,2,0,2,1,Yes,16800,1973,9/21/2021,,,,
89,Anne Arundel County,"$415,000 ",Split Foyer,3,3,,2,1,Yes,40048,1977,9/21/2021,,,,
90,Montgomery County,"$415,000 ",Ranch/Rambler,3,1,,1,,No,8516,1953,6/23/2021,,,,
91,Baltimore County,"$417,000 ",Ranch/Rambler,3,2,0,2,,Yes,7560,1954,7/7/2021,,,,
92,Montgomery County,"$419,000 ",Split Level,4,2,,3,1,Yes,5229,1985,9/21/2021,,,,
93,Prince George's County,"$419,000 ",Split Level,4,3,,2,1,Yes,9923,1979,9/21/2021,,,,
94,Prince George's County,"$419,000 ",Cape Cod,4,3,1,3,,Yes,6500,1944,9/21/2021,,,,
95,Baltimore County,"$419,900 ",Split Foyer,3,2,1,1.5,1,Yes,5730,1984,9/21/2021,,,,
96,Anne Arundel County,"$419,900 ",Colonial,4,2,1,2,,No,6315,1975,9/21/2021,,,,
97,Howard County,"$419,900 ",Split Level,4,2,1,3,1,Yes,8800,1968,9/21/2021,,,,
98,Howard County,"$420,000 ",Colonial,4,3,1,3,,No,4739,1992,9/21/2021,,,,
99,Anne Arundel County,"$420,000 ",Split Level,3,2,0,4,,Yes,7048,1993,9/21/2021,,,,
100,Anne Arundel County,"$420,000 ",Split Level,3,2,,2,1,Yes,11144,1984,7/19/2021,,,,
101,Frederick County,"$424,000 ",Colonial,5,3,1,3,1,Yes,14350,1997,7/23/2021,,,,
102,Carroll County,"$425,000 ",Contemporary,3,2,1,2,,No,8466,1994,9/21/2021,,,,
103,Prince George's County,"$425,000 ",Split Level,3,3,,3,1,Yes,10000,1976,9/21/2021,,,,
