Unnamed: 0,County,List Price,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt ,Subdivision/Neighborhood,Status
271,Anne Arundel County,"$532,000 ",Colonial,5,3,1,3,,Yes,7977,2001,7/28/2021,,,,
272,Baltimore County,"$534,900 ",Cape Cod,4,2,1,3,1,Yes,12825,1950,9/21/2021,,,,
273,Howard County,"$535,000 ",Colonial,3,2,1,3,1,Yes,10241,2013,9/21/2021,,,,
274,Montgomery County,"$535,000 ",Colonial,3,1,1,3,1,Yes,8124,1934,9/21/2021,,,,
275,Howard County,"$535,000 ",Traditional,4,3,1,3,,Yes,6017,1998,9/21/2021,,,,
276,Baltimore County,"$535,000 ",Colonial,3,3,1,3,1,Yes,5401,1999,9/21/2021,,,,
277,Montgomery County,"$535,000 ",Colonial,3,3,1,3,1,Yes,11464,1986,7/13/2021,,,,
278,Montgomery County,"$537,500 ",Colonial,4,2,1,2,1,No,12250,1968,9/21/2021,,,,
279,Montgomery County,"$539,000 ",Ranch/Rambler,3,2,,2,,Yes,8764,1955,9/21/2021,,,,
280,Montgomery County,"$539,000 ",Colonial,3,2,,3,,Yes,8100,1945,9/21/2021,,,,
281,Howard County,"$539,900 ","Bi-Level, Raised Ranch/Rambler, Split Level",4,3,,3,1,Yes,10900,1979,9/21/2021,,,,
282,Montgomery County,"$539,900 ",Ranch/Rambler,5,3,,2,,Yes,8531,1954,9/21/2021,,,,
283,Montgomery County,"$539,900 ",Ranch/Rambler,3,2,,2,1,Yes,20000,1962,9/21/2021,,,,
284,Howard County,"$539,900 ","Colonial, Other",4,3,1,2,,Yes,21780,2020,9/21/2021,,,,
285,Howard County,"$540,000 ",Ranch/Rambler,4,3,,2,1,Yes,22302,1966,9/21/2021,,,,
286,Montgomery County,"$540,000 ",Split Level,4,2,1,5,1,Yes,9829,1957,9/21/2021,,,,
287,Howard County,"$540,000 ",Split Level,5,2,1,3,1,Yes,17106,1973,8/6/2021,,,,
288,Howard County,"$545,000 ",Ranch/Rambler,3,2,,2,1,Yes,11052,1968,9/21/2021,,,,
289,Montgomery County,"$545,000 ",Split Level,4,3,1,5,1,Yes,10000,1965,7/19/2021,,,,
290,Anne Arundel County,"$545,000 ",Colonial,5,3,1,3,1,Yes,5686,2001,7/16/2021,,,,
291,Montgomery County,"$549,000 ",Contemporary,3,2,0,3,1,No,6912,1959,9/21/2021,,,,
292,Montgomery County,"$549,000 ",Split Level,4,2,,4,,Yes,10047,1965,9/21/2021,,,,
293,Montgomery County,"$549,000 ",Ranch/Rambler,6,3,,2,,No,9875,1951,9/21/2021,,,,
294,Montgomery County,"$549,500 ",Ranch/Rambler,4,2,,2,1,Yes,6169,1956,9/21/2021,,,,
295,Anne Arundel County,"$549,900 ",Ranch/Rambler,5,3,1,1,1,Yes,38333,1955,9/21/2021,,,,
296,Howard County,"$549,900 ",Colonial,4,3,1,3,1,Yes,36559,1900,9/21/2021,,,,
297,Montgomery County,"$549,900 ",Ranch/Rambler,3,2,,1,1,No,6786,1953,9/21/2021,,,,
298,Howard County,"$549,900 ",Ranch/Rambler,3,2,,1,1,Yes,87120,1978,9/21/2021,,,,
299,Montgomery County,"$549,900 ",Ranch/Rambler,4,3,,2,1,Yes,12359,1956,9/21/2021,,,,
300,Allegany County,"$549,900 ",Raised Ranch/Rambler,4,2,1,2,1,Yes,57935,1957,9/21/2021,,,,
301,Montgomery County,"$549,900 ",Split Level,4,2,1,4,1,Yes,9378,1964,9/21/2021,,,,
302,Montgomery County,"$549,900 ",Colonial,3,3,1,3,1,Yes,12523,1973,9/21/2021,,,,
303,Montgomery County,"$549,900 ",Colonial,6,4,,3,,Yes,8419,1946,9/21/2021,,,,
304,Carroll County,"$549,900 ",Colonial,5,4,,2,,No,15969,1890,9/21/2021,,,,
305,Montgomery County,"$549,900 ",Ranch/Rambler,4,2,1,2,1,Yes,8685,1955,7/20/2021,,,,
306,Montgomery County,"$549,900 ",Ranch/Rambler,3,2,2,2,1,Yes,58805,1957,7/2/2021,,,,
307,Carroll County,"$549,900 ",Colonial,4,3,1,3,,Yes,63946,1992,6/30/2021,,,,
308,Howard County,"$550,000 ",Colonial,5,2,1,3,0,Yes,20037.6,1980,9/21/2021,,,,
309,Anne Arundel County,"$550,000 ",Colonial,4,2,1,3,1,Yes,8824,1992,9/21/2021,,,,
310,Montgomery County,"$550,000 ",Cape Cod,4,2,1,3,,Yes,9000,2002,9/21/2021,,,,
311,Montgomery County,"$550,000 ",Ranch/Rambler,5,2,0,2,,Yes,8446,1958,9/21/2021,,,,
312,Howard County,"$550,000 ",Split Foyer,4,3,0,2,1,Yes,20181,1985,9/21/2021,,,,
313,Howard County,"$550,000 ",Ranch/Rambler,4,3,,2,1,Yes,20255,1960,9/21/2021,,,,
314,Howard County,"$550,000 ",Ranch/Rambler,3,1,1,1,,No,28880,1957,9/21/2021,,,,
315,Montgomery County,"$550,000 ",Colonial,3,2,,3,,Yes,7800,1950,9/21/2021,,,,
316,Montgomery County,"$550,000 ",Colonial,3,2,1,3,2,Yes,10124,1949,9/21/2021,,,,
317,Montgomery County,"$550,000 ",Colonial,4,3,,3,1,Yes,6275,1950,9/21/2021,,,,
318,Montgomery County,"$550,000 ",Colonial,4,2,1,2,,No,6248,1957,9/21/2021,,,,
319,Montgomery County,"$550,000 ",Split Level,4,2,1,4,1,Yes,16000,1966,9/21/2021,,,,
320,Howard County,"$550,000 ",Colonial,4,3,1,3,2,Yes,11704,1987,9/21/2021,,,,
321,Montgomery County,"$550,000 ",Split Level,4,3,,4,1,Yes,17982,1968,9/21/2021,,,,
322,Montgomery County,"$550,000 ",Split Level,4,2,,3,1,Yes,9095,1971,9/21/2021,,,,
323,Montgomery County,"$550,000 ",Colonial,4,3,,2,1,No,16150,1970,9/21/2021,,,,
324,Montgomery County,"$550,000 ",Other,5,3,,2,,Yes,12686,1964,7/23/2021,,,,
325,Montgomery County,"$550,000 ",Cape Cod,4,2,,2,1,Yes,13016,1883,7/9/2021,,,,
326,Montgomery County,"$550,000 ",Split Level,5,3,,4,1,Yes,22695,1966,6/28/2021,,,,
327,Howard County,"$555,000 ",Split Foyer,4,3,,2,1,Yes,40075,1972,9/21/2021,,,,
328,Howard County,"$555,000 ",Raised Ranch/Rambler,4,2,,2,1,Yes,22041,1962,7/2/2021,,,,
329,Montgomery County,"$555,000 ",Victorian,5,2,1,2,,Yes,21780,1879,7/23/2021,,,,
330,Montgomery County,"$559,900 ",Colonial,4,2,2,2,,Yes,7201,1964,9/21/2021,,,,
331,Montgomery County,"$559,900 ",Split Level,5,3,,4,1,Yes,17971,1967,9/21/2021,,,,
332,Howard County,"$560,000 ",Colonial,4,2,1,3,1,Yes,12545,1988,9/21/2021,,,,
333,Montgomery County,"$560,000 ",Ranch/Rambler,5,3,,2,1,Yes,7223,1954,9/21/2021,,,,
334,Howard County,"$560,000 ",Colonial,4,2,1,3,1,Yes,40641,1974,9/21/2021,,,,
335,Howard County,"$565,000 ",Colonial,4,3,1,3,,Yes,7535,1986,9/21/2021,,,,
336,Howard County,"$565,000 ",Colonial,4,3,1,3,1,Yes,16378,1976,9/21/2021,,,,
337,Montgomery County,"$565,000 ",Split Level,6,2,1,4,,Yes,20097,1972,9/21/2021,,,,
338,Montgomery County,"$565,000 ",Colonial,4,3,,2,2,No,12568,1968,9/21/2021,,,,
339,Howard County,"$565,000 ",Colonial,4,3,1,3,1,Yes,84942,2003,9/21/2021,,,,
340,Howard County,"$565,000 ",Cape Cod,4,2,1,3,2,Yes,20146,1961,7/30/2021,,,,
341,Howard County,"$565,000 ",Colonial,3,3,1,3,2,Yes,6889,1995,8/3/2021,,,,
342,Montgomery County,"$569,000 ",Split Level,3,2,,3,,Yes,10204,1956,9/21/2021,,,,
343,Anne Arundel County,"$569,900 ",Raised Ranch/Rambler,3,2,,2,1,Yes,27566,1962,7/30/2021,,,,
344,Howard County,"$569,900 ",Split Foyer,5,3,,2,1,Yes,20081,1978,7/6/2021,,,,
345,Anne Arundel County,"$569,999 ",Colonial,3,2,1,3,1,Yes,15473,1940,7/26/2021,,,,
346,Anne Arundel County,"$574,900 ",Colonial,5,3,1,3,1,Yes,7626,1993,9/21/2021,,,,
347,Howard County,"$575,000 ",Colonial,4,2,1,3,1,Yes,15198,1991,9/21/2021,,,,
348,Howard County,"$575,000 ",Colonial,4,2,1,2,1,Yes,7762,1985,9/21/2021,,,,
349,Montgomery County,"$575,000 ",Traditional,4,3,1,4,1,Yes,11724,1974,9/21/2021,,,,
350,Montgomery County,"$575,000 ",Raised Ranch/Rambler,3,2,,2,1,Yes,14409,1967,9/21/2021,,,,
351,Montgomery County,"$575,000 ",Cape Cod,3,3,,3,,Yes,5000,1947,9/21/2021,,,,
352,Howard County,"$575,000 ",Colonial,4,2,1,3,1,Yes,10933,1987,9/21/2021,,,,
353,Howard County,"$575,000 ",Split Level,4,2,1,3,,Yes,16030,1959,9/21/2021,,,,
354,Montgomery County,"$575,000 ",Colonial,4,2,2,3,1,Yes,9614,1990,6/29/2021,,,,
355,Montgomery County,"$575,000 ",Ranch/Rambler,5,4,,2,1,Yes,20037.6,1963,8/2/2021,,,,
356,Montgomery County,"$579,000 ",Mid-Century Modern,4,2,,2,2,No,7660,1954,9/21/2021,,,,
357,Howard County,"$579,900 ",Split Level,3,2,1,4,1,Yes,20865,1961,7/30/2021,,,,
358,Carroll County,"$579,990 ","Colonial, Contemporary",5,3,1,3,1,Yes,12498,2002,9/21/2021,,,,
359,Montgomery County,"$579,999 ",Ranch/Rambler,4,2,,2,1,Yes,24947,1954,9/21/2021,,,,
360,Montgomery County,"$580,000 ",Colonial,4,2,1,3,2,Yes,40000,1963,6/30/2021,,,,
361,Montgomery County,"$585,000 ",Colonial,4,3,1,3,1,Yes,11420,1979,9/21/2021,,,,
362,Montgomery County,"$585,000 ",Ranch/Rambler,4,3,,2,,Yes,9913,1966,9/21/2021,,,,
363,Howard County,"$585,000 ",Colonial,5,2,2,3,2,Yes,20009,1994,9/21/2021,,,,
364,Carroll County,"$585,000 ",Colonial,5,2,,3,1,Yes,332363,1912,9/21/2021,,,,
365,Montgomery County,"$585,000 ",Split Level,4,2,1,3,1,Yes,22481,1979,9/21/2021,,,,
366,Howard County,"$585,000 ",Split Level,4,3,,3,1,No,17206,1981,9/21/2021,,,,
367,Howard County,"$585,000 ",Colonial,4,3,1,3,1,Yes,12042,2015,9/21/2021,,,,
368,Montgomery County,"$585,000 ",Ranch/Rambler,5,3,,2,1,Yes,15062,1968,6/25/2021,,,,
369,Montgomery County,"$587,918 ",Colonial,3,2,1,3,,Yes,6521,1981,9/21/2021,,,,
370,Montgomery County,"$588,000 ",Split Foyer,4,3,,2,1,Yes,9996,1964,9/21/2021,,,,
371,Anne Arundel County,"$590,000 ",Colonial,5,3,1,3,1,Yes,7753,1992,9/21/2021,,,,
372,Howard County,"$595,000 ",Ranch/Rambler,4,3,1,2,0,Yes,20037,1964,9/21/2021,,,,
373,Montgomery County,"$595,000 ",Colonial,4,2,1,4,1,Yes,7063,1959,9/21/2021,,,,
374,Howard County,"$595,000 ",Traditional,4,2,2,3,1,Yes,16030,1988,7/23/2021,,,,
375,Howard County,"$595,000 ",Colonial,4,3,1,3,1,Yes,11979,1976,6/29/2021,,,,
376,Frederick County,"$597,012 ",Ranch/Rambler,3,2,,2,,Yes,19032,2021,9/21/2021,,,,
377,Anne Arundel County,"$598,000 ",Colonial,6,3,1,3,,Yes,8191,2000,9/21/2021,,,,
378,Montgomery County,"$599,000 ",Cape Cod,4,2,,3,1,Yes,5009,1956,9/21/2021,,,,
379,Montgomery County,"$599,000 ",Cape Cod,4,3,,1,,Yes,7350,1959,9/21/2021,,,,
380,Montgomery County,"$599,000 ",Split Level,5,2,1,3,,Yes,9147.6,1965,9/21/2021,,,,
381,Howard County,"$599,000 ",Ranch/Rambler,3,3,,2,2,Yes,47480,1950,9/21/2021,,,,
382,Montgomery County,"$599,000 ",Split Foyer,4,3,,2,,Yes,5922,1959,9/21/2021,,,,
383,Howard County,"$599,000 ",Split Foyer,4,2,0,2,1,Yes,69696,1982,9/21/2021,,,,
384,Montgomery County,"$599,000 ",Colonial,4,2,1,3,1,Yes,17812,1970,9/21/2021,,,,
385,Prince George's County,"$599,000 ",Colonial,4,3,1,3,1,Yes,10000,1997,9/21/2021,,,,
386,Montgomery County,"$599,000 ",Colonial,5,3,1,3,1,Yes,5875,1981,7/21/2021,,,,
387,Montgomery County,"$599,000 ",Colonial,5,3,1,3,1,Yes,30771,1998,7/9/2021,,,,
388,Howard County,"$599,900 ",Colonial,4,2,1,3,1,Yes,8400,1978,9/21/2021,,,,
389,Anne Arundel County,"$599,900 ",Ranch/Rambler,2,1,1,2,1,Yes,132858,1980,9/21/2021,,,,
390,Montgomery County,"$599,900 ",Cape Cod,4,2,,2,1,No,5623,1951,9/21/2021,,,,
391,Carroll County,"$599,900 ",Split Level,4,2,,2,1,Yes,419047,1977,9/21/2021,,,,
392,Howard County,"$599,900 ",Ranch/Rambler,4,3,,2,1,Yes,40075,1968,9/21/2021,,,,
393,Montgomery County,"$599,900 ","Colonial, Split Level",4,4,0,3,1,Yes,23750,1984,9/21/2021,,,,
394,Howard County,"$599,900 ",Ranch/Rambler,3,2,1,2,1,Yes,217800,1945,9/21/2021,,,,
395,Howard County,"$599,900 ",Colonial,4,3,1,3,1,Yes,11731,1994,9/21/2021,,,,
396,Howard County,"$599,900 ",Transitional,4,3,1,3,0,Yes,21518,1955,9/21/2021,,,,
397,Anne Arundel County,"$599,990 ",Craftsman,4,2,1,3,,Yes,56192.4,2021,9/21/2021,,,,
398,Carroll County,"$599,999 ","Colonial, Farmhouse/National Folk",3,2,1,3,3,Yes,87120,1900,9/21/2021,,,,
399,Anne Arundel County,"$599,999 ",Colonial,4,2,2,3,1,Yes,10780,1995,9/21/2021,,,,
400,Montgomery County,"$599,999 ",Split Foyer,5,3,,2,1,Yes,15896,1972,7/15/2021,,,,
